Prompts_with_Context,labels,responses
"Given the following:
Nitrogen Content: 25.0, Phosphorous Content: 76.0, Potassium Content: 17.0, Temperature: 31.74105409, Humidity: 68.63525428, pH: 7.241148507, Rainfall: 62.3061735, Plant blackgram
Nitrogen Content: 25.0, Phosphorous Content: 70.0, Potassium Content: 16.0, Temperature: 19.63474332, Humidity: 18.90705639, pH: 5.759237003, Rainfall: 106.3598183, Plant kidneybeans
Nitrogen Content: 25.0, Phosphorous Content: 130.0, Potassium Content: 197.0, Temperature: 39.70772192, Humidity: 82.68593454, pH: 5.554831977, Rainfall: 74.91506217, Plant grapes
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 25.0, Phosphorous Content: 68.0, Potassium Content: 19.0, Temperature: 29.39982732, Humidity: 64.25510719, pH: 7.108450121, Rainfall: 67.47677295
Provide a one word answer.",blackgram,  Sugarcane
"Given the following:
Nitrogen Content: 14.0, Phosphorous Content: 57.0, Potassium Content: 15.0, Temperature: 29.8757015, Humidity: 83.14796296, pH: 6.623438282, Rainfall: 40.12044158, Plant mungbean
Nitrogen Content: 14.0, Phosphorous Content: 41.0, Potassium Content: 17.0, Temperature: 29.12939524, Humidity: 88.48312598, pH: 7.085982325, Rainfall: 36.45012824, Plant mungbean
Nitrogen Content: 14.0, Phosphorous Content: 29.0, Potassium Content: 32.0, Temperature: 35.63627319, Humidity: 48.97047762, pH: 6.942520105, Rainfall: 97.51952041, Plant mango
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 14.0, Phosphorous Content: 48.0, Potassium Content: 21.0, Temperature: 29.24598976, Humidity: 84.80084105, pH: 6.991242362, Rainfall: 53.43228915
Provide a one word answer.",mungbean,  Mango
"Given the following:
Nitrogen Content: 30.0, Phosphorous Content: 44.0, Potassium Content: 16.0, Temperature: 29.73013036, Humidity: 82.89166381, pH: 6.442335593, Rainfall: 50.91511275, Plant mungbean
Nitrogen Content: 30.0, Phosphorous Content: 37.0, Potassium Content: 25.0, Temperature: 29.89129144, Humidity: 80.14487166, pH: 7.120032489, Rainfall: 54.7960127, Plant mungbean
Nitrogen Content: 30.0, Phosphorous Content: 70.0, Potassium Content: 79.0, Temperature: 20.26942271, Humidity: 19.96978871, pH: 7.313122235, Rainfall: 69.64449182, Plant chickpea
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 30.0, Phosphorous Content: 79.0, Potassium Content: 22.0, Temperature: 18.28766124, Humidity: 69.48515056, pH: 6.254216611, Rainfall: 48.60449438
Provide a one word answer.",lentil,  Chickpea
"Given the following:
Nitrogen Content: 75.0, Phosphorous Content: 54.0, Potassium Content: 36.0, Temperature: 26.29465461, Humidity: 84.56919326, pH: 7.023936392, Rainfall: 257.4914906, Plant rice
Nitrogen Content: 72.0, Phosphorous Content: 41.0, Potassium Content: 36.0, Temperature: 24.09874353, Humidity: 80.57226761, pH: 6.187746776, Rainfall: 176.8604109, Plant jute
Nitrogen Content: 72.0, Phosphorous Content: 41.0, Potassium Content: 36.0, Temperature: 26.50838667, Humidity: 86.84264005, pH: 6.065898283, Rainfall: 152.9801697, Plant jute
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 75.0, Phosphorous Content: 41.0, Potassium Content: 35.0, Temperature: 24.97042599, Humidity: 78.62697699, pH: 6.856833064, Rainfall: 166.6415254
Provide a one word answer.",jute,  Rice
"Given the following:
Nitrogen Content: 0.0, Phosphorous Content: 69.0, Potassium Content: 21.0, Temperature: 25.86928193, Humidity: 61.88321072, pH: 7.072923306, Rainfall: 36.68284038, Plant lentil
Nitrogen Content: 0.0, Phosphorous Content: 19.0, Potassium Content: 31.0, Temperature: 25.51791333, Humidity: 94.38420565, pH: 6.271952833, Rainfall: 178.7297725, Plant coconut
Nitrogen Content: 0.0, Phosphorous Content: 65.0, Potassium Content: 24.0, Temperature: 28.49584395, Humidity: 62.44616219, pH: 7.841496029, Rainfall: 53.14531023, Plant lentil
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 0.0, Phosphorous Content: 27.0, Potassium Content: 38.0, Temperature: 22.44581266, Humidity: 89.90147027, pH: 6.738016221, Rainfall: 109.3905998
Provide a one word answer.",pomegranate,  Lentil
"Given the following:
Nitrogen Content: 55.0, Phosphorous Content: 60.0, Potassium Content: 15.0, Temperature: 32.79766751, Humidity: 68.77994074, pH: 7.163043872, Rainfall: 64.11411069, Plant blackgram
Nitrogen Content: 63.0, Phosphorous Content: 58.0, Potassium Content: 22.0, Temperature: 18.25405352, Humidity: 55.28220433, pH: 6.204747653, Rainfall: 63.72358154, Plant maize
Nitrogen Content: 58.0, Phosphorous Content: 46.0, Potassium Content: 45.0, Temperature: 42.39413392, Humidity: 90.79028064, pH: 6.576261427, Rainfall: 88.46607497, Plant papaya
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 58.0, Phosphorous Content: 61.0, Potassium Content: 15.0, Temperature: 30.94908189, Humidity: 64.23364112, pH: 7.402891666, Rainfall: 62.78730907
Provide a one word answer.",blackgram,  Papaya
"Given the following:
Nitrogen Content: 8.0, Phosphorous Content: 58.0, Potassium Content: 17.0, Temperature: 28.75273118, Humidity: 69.15640149, pH: 7.286049978, Rainfall: 35.15426171, Plant lentil
Nitrogen Content: 8.0, Phosphorous Content: 45.0, Potassium Content: 18.0, Temperature: 27.93034941, Humidity: 85.42058715, pH: 7.011030515, Rainfall: 43.25095608, Plant mungbean
Nitrogen Content: 8.0, Phosphorous Content: 45.0, Potassium Content: 15.0, Temperature: 28.09568993, Humidity: 60.9835384, pH: 4.61136408, Rainfall: 33.84110759, Plant mothbeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 8.0, Phosphorous Content: 50.0, Potassium Content: 21.0, Temperature: 28.62911222, Humidity: 89.1148059, pH: 6.218923893, Rainfall: 50.49913241
Provide a one word answer.",mungbean,  Soybean
"Given the following:
Nitrogen Content: 16.0, Phosphorous Content: 29.0, Potassium Content: 13.0, Temperature: 32.31944397, Humidity: 93.67804556, pH: 6.196907944, Rainfall: 117.6236473, Plant orange
Nitrogen Content: 16.0, Phosphorous Content: 14.0, Potassium Content: 30.0, Temperature: 29.70931288, Humidity: 96.30484325, pH: 6.37466756, Rainfall: 209.8453993, Plant coconut
Nitrogen Content: 16.0, Phosphorous Content: 18.0, Potassium Content: 26.0, Temperature: 28.43647052, Humidity: 91.81320717, pH: 5.568365926, Rainfall: 145.5414413, Plant coconut
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 16.0, Phosphorous Content: 6.0, Potassium Content: 29.0, Temperature: 29.28725038, Humidity: 91.95614918, pH: 5.868285082, Rainfall: 132.1491176
Provide a one word answer.",coconut,  Coconut
"Given the following:
Nitrogen Content: 25.0, Phosphorous Content: 51.0, Potassium Content: 18.0, Temperature: 27.77799528, Humidity: 54.82130787, pH: 9.45949344, Rainfall: 50.28438729, Plant mothbeans
Nitrogen Content: 25.0, Phosphorous Content: 57.0, Potassium Content: 19.0, Temperature: 17.15432954, Humidity: 19.87070659, pH: 5.566522896, Rainfall: 87.99669731, Plant kidneybeans
Nitrogen Content: 25.0, Phosphorous Content: 60.0, Potassium Content: 22.0, Temperature: 21.63149148, Humidity: 21.17919701, pH: 5.887263027, Rainfall: 134.3649948, Plant kidneybeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 25.0, Phosphorous Content: 48.0, Potassium Content: 21.0, Temperature: 28.438097, Humidity: 83.48991368, pH: 6.267684328, Rainfall: 52.55469976
Provide a one word answer.",mungbean,  Beans
"Given the following:
Nitrogen Content: 22.0, Phosphorous Content: 71.0, Potassium Content: 17.0, Temperature: 18.15300153, Humidity: 19.38602098, pH: 5.509295379, Rainfall: 107.6907964, Plant kidneybeans
Nitrogen Content: 22.0, Phosphorous Content: 72.0, Potassium Content: 85.0, Temperature: 18.86805647, Humidity: 15.65809214, pH: 6.391173589, Rainfall: 88.51048983, Plant chickpea
Nitrogen Content: 22.0, Phosphorous Content: 67.0, Potassium Content: 78.0, Temperature: 17.16606398, Humidity: 14.42457525, pH: 6.204090835, Rainfall: 72.32667516, Plant chickpea
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 22.0, Phosphorous Content: 70.0, Potassium Content: 19.0, Temperature: 18.23775702, Humidity: 21.07643273, pH: 5.515615023, Rainfall: 69.44951585
Provide a one word answer.",kidneybeans,  Beans
"Given the following:
Nitrogen Content: 32.0, Phosphorous Content: 56.0, Potassium Content: 18.0, Temperature: 20.0467711, Humidity: 65.84395319, pH: 7.135251532, Rainfall: 46.05333124, Plant lentil
Nitrogen Content: 63.0, Phosphorous Content: 44.0, Potassium Content: 41.0, Temperature: 24.17298839, Humidity: 83.7287574, pH: 5.583370042, Rainfall: 257.0343554, Plant rice
Nitrogen Content: 63.0, Phosphorous Content: 58.0, Potassium Content: 50.0, Temperature: 43.03714283, Humidity: 94.6428898, pH: 6.720744449, Rainfall: 41.5856585, Plant papaya
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 64.0, Phosphorous Content: 35.0, Potassium Content: 23.0, Temperature: 23.02038334, Humidity: 61.89472002, pH: 5.680361038, Rainfall: 63.03843397
Provide a one word answer.",maize,  Papaya
"Given the following:
Nitrogen Content: 108.0, Phosphorous Content: 46.0, Potassium Content: 17.0, Temperature: 24.3017998, Humidity: 84.87668973, pH: 6.93221485, Rainfall: 65.0247867, Plant cotton
Nitrogen Content: 108.0, Phosphorous Content: 23.0, Potassium Content: 51.0, Temperature: 26.84366082, Humidity: 83.85039964, pH: 6.106500787, Rainfall: 40.228644, Plant watermelon
Nitrogen Content: 108.0, Phosphorous Content: 88.0, Potassium Content: 55.0, Temperature: 26.28845991, Humidity: 83.390039, pH: 5.891458107, Rainfall: 113.8729798, Plant banana
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 108.0, Phosphorous Content: 22.0, Potassium Content: 46.0, Temperature: 26.17668721, Humidity: 86.7295205, pH: 6.121168559, Rainfall: 53.33484977
Provide a one word answer.",watermelon,  Banana
"Given the following:
Nitrogen Content: 107.0, Phosphorous Content: 5.0, Potassium Content: 52.0, Temperature: 26.6634609, Humidity: 89.98405233, pH: 6.881425746, Rainfall: 57.40847165, Plant watermelon
Nitrogen Content: 107.0, Phosphorous Content: 21.0, Potassium Content: 26.0, Temperature: 26.45288458, Humidity: 55.32222678, pH: 7.235070264, Rainfall: 144.6861336, Plant coffee
Nitrogen Content: 107.0, Phosphorous Content: 11.0, Potassium Content: 54.0, Temperature: 28.59052369, Humidity: 91.33617236, pH: 6.094016338, Rainfall: 29.44008034, Plant muskmelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 107.0, Phosphorous Content: 12.0, Potassium Content: 46.0, Temperature: 29.57240298, Humidity: 93.61870344, pH: 6.559763394, Rainfall: 27.56918621
Provide a one word answer.",muskmelon,  MUSKMELON
"Given the following:
Nitrogen Content: 100.0, Phosphorous Content: 41.0, Potassium Content: 22.0, Temperature: 22.4204752, Humidity: 84.55794703, pH: 7.318802162, Rainfall: 93.46595573, Plant cotton
Nitrogen Content: 100.0, Phosphorous Content: 40.0, Potassium Content: 35.0, Temperature: 27.56441788, Humidity: 54.41094079, pH: 6.955787351, Rainfall: 177.816092, Plant coffee
Nitrogen Content: 100.0, Phosphorous Content: 48.0, Potassium Content: 17.0, Temperature: 23.7805123, Humidity: 83.03878838, pH: 7.827877818, Rainfall: 66.26555904, Plant cotton
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 100.0, Phosphorous Content: 40.0, Potassium Content: 20.0, Temperature: 22.45145981, Humidity: 76.25674874, pH: 7.432043735, Rainfall: 86.84998693
Provide a one word answer.",cotton,  Cotton
"Given the following:
Nitrogen Content: 0.0, Phosphorous Content: 145.0, Potassium Content: 205.0, Temperature: 21.22503442, Humidity: 90.09877774, pH: 5.52078314, Rainfall: 113.9760462, Plant apple
Nitrogen Content: 0.0, Phosphorous Content: 55.0, Potassium Content: 22.0, Temperature: 22.98666928, Humidity: 20.57940608, pH: 5.916779289, Rainfall: 143.8584938, Plant kidneybeans
Nitrogen Content: 0.0, Phosphorous Content: 137.0, Potassium Content: 195.0, Temperature: 22.4359017, Humidity: 80.18612085, pH: 6.329499832, Rainfall: 65.3973168, Plant grapes
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 0.0, Phosphorous Content: 133.0, Potassium Content: 200.0, Temperature: 23.67287749, Humidity: 90.4935574, pH: 5.708418722, Rainfall: 104.2298028
Provide a one word answer.",apple,  Corn
"Given the following:
Nitrogen Content: 42.0, Phosphorous Content: 79.0, Potassium Content: 23.0, Temperature: 27.71678273, Humidity: 63.29103387, pH: 6.781841984, Rainfall: 68.56507978, Plant blackgram
Nitrogen Content: 40.0, Phosphorous Content: 61.0, Potassium Content: 22.0, Temperature: 20.94981756, Humidity: 65.8108757, pH: 7.002216044, Rainfall: 44.23913012, Plant lentil
Nitrogen Content: 39.0, Phosphorous Content: 78.0, Potassium Content: 15.0, Temperature: 21.35499456, Humidity: 62.60136323, pH: 5.925391795, Rainfall: 41.78219834, Plant lentil
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 41.0, Phosphorous Content: 69.0, Potassium Content: 82.0, Temperature: 20.02381489, Humidity: 16.63294455, pH: 6.715587232, Rainfall: 68.97806542
Provide a one word answer.",chickpea,  Lentil.
"Given the following:
Nitrogen Content: 35.0, Phosphorous Content: 74.0, Potassium Content: 22.0, Temperature: 26.7230014, Humidity: 62.96841833, pH: 6.898905799, Rainfall: 42.87274897, Plant lentil
Nitrogen Content: 35.0, Phosphorous Content: 69.0, Potassium Content: 23.0, Temperature: 16.78791503, Humidity: 24.96881755, pH: 5.578410206, Rainfall: 75.45328039, Plant kidneybeans
Nitrogen Content: 35.0, Phosphorous Content: 66.0, Potassium Content: 47.0, Temperature: 31.7018373, Humidity: 91.66232213, pH: 6.953439161, Rainfall: 48.83810592, Plant papaya
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 35.0, Phosphorous Content: 72.0, Potassium Content: 21.0, Temperature: 34.03619494, Humidity: 64.28791388, pH: 7.741418772, Rainfall: 66.85510868
Provide a one word answer.",blackgram,"  Based on the given conditions, the ideal crop to plant is:
Papaya"
"Given the following:
Nitrogen Content: 95.0, Phosphorous Content: 12.0, Potassium Content: 51.0, Temperature: 25.76484262, Humidity: 84.1726996, pH: 6.681606702, Rainfall: 44.22066914, Plant watermelon
Nitrogen Content: 95.0, Phosphorous Content: 52.0, Potassium Content: 36.0, Temperature: 26.22916897, Humidity: 83.83625819, pH: 5.543360238, Rainfall: 286.5083725, Plant rice
Nitrogen Content: 95.0, Phosphorous Content: 21.0, Potassium Content: 47.0, Temperature: 27.93114233, Humidity: 93.56161439, pH: 6.431970877, Rainfall: 20.66127836, Plant muskmelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 95.0, Phosphorous Content: 12.0, Potassium Content: 46.0, Temperature: 26.21667586, Humidity: 81.01009354, pH: 6.32281728, Rainfall: 54.65423596
Provide a one word answer.",watermelon,  Watermelon
"Given the following:
Nitrogen Content: 1.0, Phosphorous Content: 30.0, Potassium Content: 10.0, Temperature: 11.89925671, Humidity: 91.34663797, pH: 7.291405641, Rainfall: 103.5771468, Plant orange
Nitrogen Content: 1.0, Phosphorous Content: 62.0, Potassium Content: 23.0, Temperature: 15.43546065, Humidity: 18.37477907, pH: 5.607808432, Rainfall: 139.0302034, Plant kidneybeans
Nitrogen Content: 1.0, Phosphorous Content: 30.0, Potassium Content: 29.0, Temperature: 28.33333307, Humidity: 51.39586505, pH: 6.434197756, Rainfall: 91.67241761, Plant mango
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 1.0, Phosphorous Content: 12.0, Potassium Content: 30.0, Temperature: 27.754298, Humidity: 95.94643831, pH: 5.56222383, Rainfall: 131.0900076
Provide a one word answer.",coconut,  Mango
"Given the following:
Nitrogen Content: 91.0, Phosphorous Content: 56.0, Potassium Content: 37.0, Temperature: 23.43191632, Humidity: 80.56887849, pH: 6.363472208, Rainfall: 269.5039162, Plant rice
Nitrogen Content: 91.0, Phosphorous Content: 35.0, Potassium Content: 38.0, Temperature: 24.8972823, Humidity: 80.52586088, pH: 6.13428721, Rainfall: 183.6793207, Plant rice
Nitrogen Content: 93.0, Phosphorous Content: 91.0, Potassium Content: 47.0, Temperature: 27.84767901, Humidity: 83.31110751, pH: 6.101241579, Rainfall: 117.2878912, Plant banana
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 91.0, Phosphorous Content: 41.0, Potassium Content: 37.0, Temperature: 24.48556447, Humidity: 83.20630007, pH: 6.132570523, Rainfall: 192.2316221
Provide a one word answer.",jute,  Rice
"Given the following:
Nitrogen Content: 38.0, Phosphorous Content: 36.0, Potassium Content: 21.0, Temperature: 28.02952623, Humidity: 84.8845732, pH: 6.556372966, Rainfall: 36.12042927, Plant mungbean
Nitrogen Content: 38.0, Phosphorous Content: 14.0, Potassium Content: 37.0, Temperature: 21.80523051, Humidity: 94.63612858, pH: 6.658402594, Rainfall: 102.6488846, Plant pomegranate
Nitrogen Content: 38.0, Phosphorous Content: 21.0, Potassium Content: 35.0, Temperature: 20.33691147, Humidity: 89.38003827, pH: 5.841367187, Rainfall: 110.9653137, Plant pomegranate
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 38.0, Phosphorous Content: 24.0, Potassium Content: 33.0, Temperature: 28.28905147, Humidity: 97.00396405, pH: 5.973853124, Rainfall: 142.9403233
Provide a one word answer.",coconut,  Pomegranate
"Given the following:
Nitrogen Content: 89.0, Phosphorous Content: 91.0, Potassium Content: 55.0, Temperature: 25.08347445, Humidity: 80.261731, pH: 6.275572298, Rainfall: 94.32961456, Plant banana
Nitrogen Content: 92.0, Phosphorous Content: 44.0, Potassium Content: 16.0, Temperature: 18.87751445, Humidity: 65.76816093, pH: 6.082973754, Rainfall: 94.76189431, Plant maize
Nitrogen Content: 91.0, Phosphorous Content: 13.0, Potassium Content: 47.0, Temperature: 29.10968327, Humidity: 92.43510994, pH: 6.14410903, Rainfall: 27.95602304, Plant muskmelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 91.0, Phosphorous Content: 94.0, Potassium Content: 46.0, Temperature: 29.36792366, Humidity: 76.24900101, pH: 6.149934034, Rainfall: 92.82840911
Provide a one word answer.",banana,  Muskmelon
"Given the following:
Nitrogen Content: 32.0, Phosphorous Content: 41.0, Potassium Content: 16.0, Temperature: 28.63618921, Humidity: 61.39451307, pH: 7.702287236, Rainfall: 68.54877876, Plant mothbeans
Nitrogen Content: 32.0, Phosphorous Content: 14.0, Potassium Content: 37.0, Temperature: 22.73031253, Humidity: 88.48567856, pH: 6.825256236, Rainfall: 104.6843243, Plant pomegranate
Nitrogen Content: 32.0, Phosphorous Content: 20.0, Potassium Content: 35.0, Temperature: 26.52166434, Humidity: 98.38227669, pH: 5.588655387, Rainfall: 144.6261698, Plant coconut
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 32.0, Phosphorous Content: 43.0, Potassium Content: 22.0, Temperature: 31.99928579, Humidity: 54.1077461, pH: 5.270749441, Rainfall: 71.6266696
Provide a one word answer.",mothbeans,  Coconut
