Prompts_with_Context,Labels
"Given the following:
Nitrogen Content: 111.0, Phosphorous Content: 27.0, Potassium Content: 31.0, Temperature: 23.59302313, Humidity: 55.27564977, pH: 6.043330951, Rainfall: 191.3980675, Plant coffee
Nitrogen Content: 111.0, Phosphorous Content: 5.0, Potassium Content: 52.0, Temperature: 29.8843055, Humidity: 94.0371147, pH: 6.135996372, Rainfall: 21.0000988, Plant muskmelon
Nitrogen Content: 111.0, Phosphorous Content: 53.0, Potassium Content: 19.0, Temperature: 23.96436009, Humidity: 78.02763149, pH: 6.419536555, Rainfall: 84.63148859, Plant cotton
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 111.0, Phosphorous Content: 87.0, Potassium Content: 48.0, Temperature: 26.3985515, Humidity: 81.36028902, pH: 5.571401169, Rainfall: 98.16752001",banana
"Given the following:
Nitrogen Content: 62.0, Phosphorous Content: 42.0, Potassium Content: 36.0, Temperature: 22.78133816, Humidity: 82.06719137, pH: 6.430010215, Rainfall: 248.7183228, Plant rice
Nitrogen Content: 59.0, Phosphorous Content: 62.0, Potassium Content: 83.0, Temperature: 18.57665902, Humidity: 19.22008229, pH: 8.104396058, Rainfall: 72.94940441, Plant chickpea
Nitrogen Content: 62.0, Phosphorous Content: 48.0, Potassium Content: 20.0, Temperature: 21.70181447, Humidity: 60.47470519, pH: 6.708446922, Rainfall: 95.71388473, Plant maize
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 62.0, Phosphorous Content: 52.0, Potassium Content: 16.0, Temperature: 22.27526694, Humidity: 58.84015925, pH: 6.967057762, Rainfall: 63.87020584",maize
"Given the following:
Nitrogen Content: 16.0, Phosphorous Content: 77.0, Potassium Content: 22.0, Temperature: 31.48469278, Humidity: 35.6395615, pH: 6.574209678, Rainfall: 100.546816, Plant pigeonpeas
Nitrogen Content: 16.0, Phosphorous Content: 71.0, Potassium Content: 24.0, Temperature: 18.33124824, Humidity: 38.40975482, pH: 4.946369874, Rainfall: 139.6483317, Plant pigeonpeas
Nitrogen Content: 16.0, Phosphorous Content: 73.0, Potassium Content: 19.0, Temperature: 18.41645629, Humidity: 34.80541039, pH: 4.684079249, Rainfall: 163.2747473, Plant pigeonpeas
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 16.0, Phosphorous Content: 143.0, Potassium Content: 204.0, Temperature: 23.71475278, Humidity: 91.53331177, pH: 5.631333387, Rainfall: 121.8961665",apple
"Given the following:
Nitrogen Content: 33.0, Phosphorous Content: 75.0, Potassium Content: 84.0, Temperature: 19.46210401, Humidity: 18.72831993, pH: 7.217018459, Rainfall: 68.81405149, Plant chickpea
Nitrogen Content: 63.0, Phosphorous Content: 35.0, Potassium Content: 16.0, Temperature: 22.02720976, Humidity: 65.35549924, pH: 6.272417541, Rainfall: 83.73280082, Plant maize
Nitrogen Content: 32.0, Phosphorous Content: 76.0, Potassium Content: 15.0, Temperature: 28.05153602, Humidity: 63.49802189, pH: 7.604110177, Rainfall: 43.35795377, Plant lentil
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 31.0, Phosphorous Content: 76.0, Potassium Content: 82.0, Temperature: 20.8248451, Humidity: 17.85057083, pH: 7.599279991, Rainfall: 79.20509212",chickpea
"Given the following:
Nitrogen Content: 34.0, Phosphorous Content: 11.0, Potassium Content: 10.0, Temperature: 31.75048899, Humidity: 94.59551226, pH: 7.36220835, Rainfall: 115.1989301, Plant orange
Nitrogen Content: 34.0, Phosphorous Content: 73.0, Potassium Content: 15.0, Temperature: 20.97195263, Humidity: 63.83179889, pH: 7.630424083, Rainfall: 53.10207889, Plant lentil
Nitrogen Content: 16.0, Phosphorous Content: 35.0, Potassium Content: 31.0, Temperature: 32.27652024, Humidity: 50.19368841, pH: 5.316875978, Rainfall: 95.99487068, Plant mango
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 34.0, Phosphorous Content: 10.0, Potassium Content: 14.0, Temperature: 34.05296914, Humidity: 92.05811721, pH: 6.725600855, Rainfall: 116.8020848",orange
"Given the following:
Nitrogen Content: 25.0, Phosphorous Content: 130.0, Potassium Content: 197.0, Temperature: 39.70772192, Humidity: 82.68593454, pH: 5.554831977, Rainfall: 74.91506217, Plant grapes
Nitrogen Content: 11.0, Phosphorous Content: 132.0, Potassium Content: 197.0, Temperature: 15.99050693, Humidity: 81.23966573, pH: 5.734317007, Rainfall: 74.40198861, Plant grapes
Nitrogen Content: 25.0, Phosphorous Content: 132.0, Potassium Content: 198.0, Temperature: 22.31944084, Humidity: 90.85174383, pH: 5.732757516, Rainfall: 100.1173443, Plant apple
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 5.0, Phosphorous Content: 126.0, Potassium Content: 197.0, Temperature: 12.80000387, Humidity: 81.20876367, pH: 6.417500829, Rainfall: 67.10439401",grapes
"Given the following:
Nitrogen Content: 31.0, Phosphorous Content: 30.0, Potassium Content: 29.0, Temperature: 26.58580443, Humidity: 90.98617591, pH: 5.558807063, Rainfall: 178.8116076, Plant coconut
Nitrogen Content: 30.0, Phosphorous Content: 64.0, Potassium Content: 20.0, Temperature: 33.8642935, Humidity: 61.57072498, pH: 6.573531614, Rainfall: 68.02199825, Plant blackgram
Nitrogen Content: 30.0, Phosphorous Content: 13.0, Potassium Content: 25.0, Temperature: 27.15116142, Humidity: 91.48889469, pH: 6.413184638, Rainfall: 164.9182225, Plant coconut
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 30.0, Phosphorous Content: 25.0, Potassium Content: 31.0, Temperature: 26.31270635, Humidity: 98.62048026, pH: 5.804965067, Rainfall: 208.1181381",coconut
"Given the following:
Nitrogen Content: 38.0, Phosphorous Content: 21.0, Potassium Content: 35.0, Temperature: 20.33691147, Humidity: 89.38003827, pH: 5.841367187, Rainfall: 110.9653137, Plant pomegranate
Nitrogen Content: 37.0, Phosphorous Content: 73.0, Potassium Content: 21.0, Temperature: 29.50304807, Humidity: 63.46513414, pH: 5.560224583, Rainfall: 189.5208915, Plant pigeonpeas
Nitrogen Content: 39.0, Phosphorous Content: 71.0, Potassium Content: 84.0, Temperature: 20.28155898, Humidity: 16.39535215, pH: 8.140825437, Rainfall: 82.52339655, Plant chickpea
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 38.0, Phosphorous Content: 77.0, Potassium Content: 22.0, Temperature: 28.234829, Humidity: 69.3159965, pH: 6.313284268, Rainfall: 35.36831423",lentil
"Given the following:
Nitrogen Content: 23.0, Phosphorous Content: 62.0, Potassium Content: 19.0, Temperature: 16.51783455, Humidity: 20.4555596, pH: 5.609435128, Rainfall: 98.77794225, Plant kidneybeans
Nitrogen Content: 21.0, Phosphorous Content: 9.0, Potassium Content: 40.0, Temperature: 24.51147697, Humidity: 90.64498715, pH: 5.956401828, Rainfall: 105.6209954, Plant pomegranate
Nitrogen Content: 23.0, Phosphorous Content: 23.0, Potassium Content: 30.0, Temperature: 32.82141065, Humidity: 47.45553843, pH: 4.755273631, Rainfall: 90.89173106, Plant mango
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 23.0, Phosphorous Content: 65.0, Potassium Content: 20.0, Temperature: 23.0429097, Humidity: 22.42610972, pH: 5.833940084, Rainfall: 108.3684316",kidneybeans
"Given the following:
Nitrogen Content: 82.0, Phosphorous Content: 35.0, Potassium Content: 35.0, Temperature: 25.49386782, Humidity: 86.97061481, pH: 7.299076163, Rainfall: 176.5268267, Plant jute
Nitrogen Content: 35.0, Phosphorous Content: 135.0, Potassium Content: 199.0, Temperature: 21.77466746, Humidity: 80.54942557, pH: 6.400719746, Rainfall: 69.39630398, Plant grapes
Nitrogen Content: 35.0, Phosphorous Content: 145.0, Potassium Content: 195.0, Temperature: 22.03911546, Humidity: 94.58075845, pH: 6.231950009, Rainfall: 110.9804014, Plant apple
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 35.0, Phosphorous Content: 80.0, Potassium Content: 25.0, Temperature: 28.09269012, Humidity: 44.93322042, pH: 4.895927306, Rainfall: 197.1144011",pigeonpeas
"Given the following:
Nitrogen Content: 89.0, Phosphorous Content: 52.0, Potassium Content: 45.0, Temperature: 24.89326318, Humidity: 77.01222585, pH: 7.207457208, Rainfall: 196.469984, Plant jute
Nitrogen Content: 90.0, Phosphorous Content: 39.0, Potassium Content: 37.0, Temperature: 24.81441246, Humidity: 81.68688879, pH: 6.86106911, Rainfall: 190.7886386, Plant jute
Nitrogen Content: 90.0, Phosphorous Content: 39.0, Potassium Content: 43.0, Temperature: 24.44743944, Humidity: 82.286484, pH: 6.7693455, Rainfall: 190.9684885, Plant jute
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 89.0, Phosphorous Content: 47.0, Potassium Content: 38.0, Temperature: 25.52468965, Humidity: 72.24850829, pH: 6.002524871, Rainfall: 151.8869972",jute
"Given the following:
Nitrogen Content: 28.0, Phosphorous Content: 27.0, Potassium Content: 34.0, Temperature: 32.45465292, Humidity: 50.69693751, pH: 6.526654345, Rainfall: 95.04871605, Plant mango
Nitrogen Content: 28.0, Phosphorous Content: 58.0, Potassium Content: 24.0, Temperature: 19.72702528, Humidity: 18.28173015, pH: 5.748190463, Rainfall: 143.7630894, Plant kidneybeans
Nitrogen Content: 28.0, Phosphorous Content: 75.0, Potassium Content: 21.0, Temperature: 24.7741949, Humidity: 50.54621094, pH: 6.007508163, Rainfall: 114.2821387, Plant pigeonpeas
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 28.0, Phosphorous Content: 23.0, Potassium Content: 28.0, Temperature: 30.01821337, Humidity: 50.0983181, pH: 5.676032581, Rainfall: 96.08745082",mango
"Given the following:
Nitrogen Content: 109.0, Phosphorous Content: 26.0, Potassium Content: 45.0, Temperature: 28.27973674, Humidity: 90.38971208, pH: 6.224535449, Rainfall: 21.58992507, Plant muskmelon
Nitrogen Content: 109.0, Phosphorous Content: 23.0, Potassium Content: 25.0, Temperature: 25.11711046, Humidity: 68.48030408, pH: 7.00733163, Rainfall: 194.8773479, Plant coffee
Nitrogen Content: 109.0, Phosphorous Content: 21.0, Potassium Content: 55.0, Temperature: 24.9004602, Humidity: 89.73524177, pH: 6.770278088, Rainfall: 57.44942094, Plant watermelon
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 109.0, Phosphorous Content: 31.0, Potassium Content: 27.0, Temperature: 23.05951896, Humidity: 50.40609436, pH: 6.973839707, Rainfall: 164.4971875",coffee
"Given the following:
Nitrogen Content: 19.0, Phosphorous Content: 38.0, Potassium Content: 26.0, Temperature: 31.48451729, Humidity: 48.77926304, pH: 4.525722333, Rainfall: 93.17221967, Plant mango
Nitrogen Content: 19.0, Phosphorous Content: 36.0, Potassium Content: 22.0, Temperature: 25.44689075, Humidity: 58.55363573, pH: 6.16496284, Rainfall: 57.04826619, Plant mothbeans
Nitrogen Content: 19.0, Phosphorous Content: 53.0, Potassium Content: 22.0, Temperature: 27.8640132, Humidity: 80.4513142, pH: 6.852884643, Rainfall: 42.83053902, Plant mungbean
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 19.0, Phosphorous Content: 26.0, Potassium Content: 29.0, Temperature: 26.93141945, Humidity: 98.80313612, pH: 5.67154928, Rainfall: 166.5712879",coconut
"Given the following:
Nitrogen Content: 11.0, Phosphorous Content: 36.0, Potassium Content: 31.0, Temperature: 27.92063282, Humidity: 51.77965917, pH: 6.47544932, Rainfall: 100.2585673, Plant mango
Nitrogen Content: 11.0, Phosphorous Content: 60.0, Potassium Content: 23.0, Temperature: 27.33684386, Humidity: 88.50229102, pH: 7.033012777, Rainfall: 51.09802625, Plant mungbean
Nitrogen Content: 31.0, Phosphorous Content: 26.0, Potassium Content: 9.0, Temperature: 11.69894639, Humidity: 93.25638873, pH: 7.566165721, Rainfall: 103.2005992, Plant orange
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 11.0, Phosphorous Content: 27.0, Potassium Content: 30.0, Temperature: 27.69637763, Humidity: 48.5622488, pH: 6.39474303, Rainfall: 89.85646496",mango
"Given the following:
Nitrogen Content: 9.0, Phosphorous Content: 139.0, Potassium Content: 199.0, Temperature: 23.25230817, Humidity: 94.54128292, pH: 5.867420996, Rainfall: 105.3558408, Plant apple
Nitrogen Content: 39.0, Phosphorous Content: 139.0, Potassium Content: 201.0, Temperature: 41.18664903, Humidity: 81.01783402, pH: 5.539980812, Rainfall: 68.68895899, Plant grapes
Nitrogen Content: 6.0, Phosphorous Content: 139.0, Potassium Content: 199.0, Temperature: 25.67385024, Humidity: 81.6212135, pH: 6.29099842, Rainfall: 74.10919422, Plant grapes
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 8.0, Phosphorous Content: 139.0, Potassium Content: 199.0, Temperature: 29.36947679, Humidity: 81.53996362, pH: 6.336426667, Rainfall: 66.13442813",grapes
"Given the following:
Nitrogen Content: 11.0, Phosphorous Content: 45.0, Potassium Content: 19.0, Temperature: 28.70012137, Humidity: 44.359648, pH: 3.828031463, Rainfall: 44.11622138, Plant mothbeans
Nitrogen Content: 11.0, Phosphorous Content: 46.0, Potassium Content: 24.0, Temperature: 27.65280218, Humidity: 89.80650642, pH: 6.459252023, Rainfall: 56.52558045, Plant mungbean
Nitrogen Content: 11.0, Phosphorous Content: 74.0, Potassium Content: 17.0, Temperature: 21.36383757, Humidity: 69.92375891, pH: 6.633864582, Rainfall: 46.6352865, Plant lentil
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 11.0, Phosphorous Content: 44.0, Potassium Content: 17.0, Temperature: 26.34043268, Humidity: 55.59160391, pH: 8.016210782, Rainfall: 35.1051197",mothbeans
"Given the following:
Nitrogen Content: 29.0, Phosphorous Content: 128.0, Potassium Content: 198.0, Temperature: 22.44075021, Humidity: 92.70785115, pH: 5.685062404, Rainfall: 121.4977331, Plant apple
Nitrogen Content: 35.0, Phosphorous Content: 135.0, Potassium Content: 199.0, Temperature: 21.77466746, Humidity: 80.54942557, pH: 6.400719746, Rainfall: 69.39630398, Plant grapes
Nitrogen Content: 117.0, Phosphorous Content: 34.0, Potassium Content: 25.0, Temperature: 24.83846178, Humidity: 56.7685316, pH: 7.21270048, Rainfall: 124.4135035, Plant coffee
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 34.0, Phosphorous Content: 140.0, Potassium Content: 198.0, Temperature: 21.70416965, Humidity: 93.44006288, pH: 5.751707342, Rainfall: 115.1781396",apple
"Given the following:
Nitrogen Content: 7.0, Phosphorous Content: 21.0, Potassium Content: 35.0, Temperature: 25.76011662, Humidity: 94.65830608, pH: 5.764812076, Rainfall: 131.2451414, Plant coconut
Nitrogen Content: 7.0, Phosphorous Content: 56.0, Potassium Content: 23.0, Temperature: 26.33908791, Humidity: 40.00933429, pH: 5.545219232, Rainfall: 55.50429227, Plant mothbeans
Nitrogen Content: 7.0, Phosphorous Content: 79.0, Potassium Content: 23.0, Temperature: 19.6365349, Humidity: 19.68751084, pH: 5.821649914, Rainfall: 96.65888933, Plant kidneybeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 7.0, Phosphorous Content: 23.0, Potassium Content: 35.0, Temperature: 19.75088482, Humidity: 88.71691157, pH: 7.054313823, Rainfall: 102.5538035",pomegranate
"Given the following:
Nitrogen Content: 107.0, Phosphorous Content: 11.0, Potassium Content: 54.0, Temperature: 28.59052369, Humidity: 91.33617236, pH: 6.094016338, Rainfall: 29.44008034, Plant muskmelon
Nitrogen Content: 107.0, Phosphorous Content: 5.0, Potassium Content: 52.0, Temperature: 26.6634609, Humidity: 89.98405233, pH: 6.881425746, Rainfall: 57.40847165, Plant watermelon
Nitrogen Content: 107.0, Phosphorous Content: 45.0, Potassium Content: 25.0, Temperature: 23.0865933, Humidity: 83.55546146, pH: 7.227745516, Rainfall: 71.84080724, Plant cotton
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 107.0, Phosphorous Content: 10.0, Potassium Content: 49.0, Temperature: 25.83202912, Humidity: 89.00481725, pH: 6.755192025, Rainfall: 45.24690619",watermelon
"Given the following:
Nitrogen Content: 18.0, Phosphorous Content: 57.0, Potassium Content: 21.0, Temperature: 27.37659643, Humidity: 63.93927841, pH: 6.155915975, Rainfall: 49.47371773, Plant lentil
Nitrogen Content: 18.0, Phosphorous Content: 23.0, Potassium Content: 44.0, Temperature: 23.71028128, Humidity: 89.61794165, pH: 6.184400085, Rainfall: 105.6499907, Plant pomegranate
Nitrogen Content: 18.0, Phosphorous Content: 19.0, Potassium Content: 27.0, Temperature: 27.75518664, Humidity: 52.34605806, pH: 4.772385986, Rainfall: 94.11213345, Plant mango
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 18.0, Phosphorous Content: 55.0, Potassium Content: 23.0, Temperature: 21.9989826, Humidity: 56.31006755, pH: 6.98571967, Rainfall: 136.8274312",pigeonpeas
"Given the following:
Nitrogen Content: 3.0, Phosphorous Content: 58.0, Potassium Content: 21.0, Temperature: 25.36140526, Humidity: 46.82652785, pH: 9.160691747, Rainfall: 55.60523179, Plant mothbeans
Nitrogen Content: 3.0, Phosphorous Content: 69.0, Potassium Content: 23.0, Temperature: 28.67408774, Humidity: 63.18832976, pH: 7.299360767, Rainfall: 42.96018627, Plant lentil
Nitrogen Content: 3.0, Phosphorous Content: 49.0, Potassium Content: 18.0, Temperature: 27.91095209, Humidity: 64.70930606, pH: 3.692863601, Rainfall: 32.67891866, Plant mothbeans
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 3.0, Phosphorous Content: 77.0, Potassium Content: 25.0, Temperature: 24.84906168, Humidity: 22.89464642, pH: 5.608165195, Rainfall: 62.21292186",kidneybeans
"Given the following:
Nitrogen Content: 17.0, Phosphorous Content: 73.0, Potassium Content: 18.0, Temperature: 19.50112224, Humidity: 34.51086611, pH: 5.632353113, Rainfall: 197.3752649, Plant pigeonpeas
Nitrogen Content: 17.0, Phosphorous Content: 56.0, Potassium Content: 17.0, Temperature: 27.94293692, Humidity: 45.41393636, pH: 5.9565851, Rainfall: 69.66289997, Plant mothbeans
Nitrogen Content: 17.0, Phosphorous Content: 134.0, Potassium Content: 204.0, Temperature: 39.04071989, Humidity: 80.18393287, pH: 6.499604931, Rainfall: 73.88467027, Plant grapes
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 17.0, Phosphorous Content: 64.0, Potassium Content: 18.0, Temperature: 36.75087487, Humidity: 58.25799145, pH: 6.07938452, Rainfall: 124.6028153",pigeonpeas
"Given the following:
Nitrogen Content: 23.0, Phosphorous Content: 57.0, Potassium Content: 19.0, Temperature: 32.83963757, Humidity: 67.99803573, pH: 7.251000789, Rainfall: 73.40452716, Plant blackgram
Nitrogen Content: 23.0, Phosphorous Content: 45.0, Potassium Content: 23.0, Temperature: 28.77653519, Humidity: 86.69133979, pH: 6.983130466, Rainfall: 56.12443206, Plant mungbean
Nitrogen Content: 23.0, Phosphorous Content: 23.0, Potassium Content: 30.0, Temperature: 32.82141065, Humidity: 47.45553843, pH: 4.755273631, Rainfall: 90.89173106, Plant mango
 What is the ideal crop to plant for the following conditions: Nitrogen Content: 23.0, Phosphorous Content: 59.0, Potassium Content: 25.0, Temperature: 27.8262623, Humidity: 88.73100226, pH: 6.320768488, Rainfall: 56.68833819",mungbean
